album,track_title,track_n,lyric,line
Queen,Keep Yourself Alive,1,I was told a million times of all the troubles in my way,1
Queen,Keep Yourself Alive,1,Mind you grow a little wiser little better every day,2
Queen,Keep Yourself Alive,1,But if I crossed a million rivers and I rode a million miles,3
Queen,Keep Yourself Alive,1,Then I'd still be where I started bread and butter for a smile,4
Queen,Keep Yourself Alive,1,Well I sold a million mirrors In a shopping alley way,5
Queen,Keep Yourself Alive,1,But I never saw my face In any window any day,6
Queen,Keep Yourself Alive,1,Now they say your folks are telling you be a super star,7
Queen,Keep Yourself Alive,1,But I tell you just be satisfied stay right where you are,8
Queen,Keep Yourself Alive,1,"Keep yourself alive, yeah Keep yourself alive",9
Queen,Keep Yourself Alive,1,"Ooh, it'll take you all your time and money honey you'll survive",10
Queen,Keep Yourself Alive,1,Well I've loved a million women In a belladonic haze,11
Queen,Keep Yourself Alive,1,And I ate a million dinners brought to me on silver trays,12
Queen,Keep Yourself Alive,1,Give me everything I need to feed my body and my soul,13
Queen,Keep Yourself Alive,1,And I'll grow a little bigger maybe that can be my goal,14
Queen,Keep Yourself Alive,1,I was told a million times of all the people in my way,15
Queen,Keep Yourself Alive,1,How I had to keep on trying and get better every day,16
Queen,Keep Yourself Alive,1,But if I crossed a million rivers and I rode a million miles,17
Queen,Keep Yourself Alive,1,Then I'd still be where I started same as when I started,18
Queen,Keep Yourself Alive,1,"Keep yourself alive, come on Keep yourself alive",19
Queen,Keep Yourself Alive,1,"Ooh, it'll take you all your time and money honey You'll survive, shake",20
Queen,Keep Yourself Alive,1,"Keep yourself alive, wow Keep yourself alive",21
Queen,Keep Yourself Alive,1,"Oh, it'll take you all your time and money To keep me satisfied",22
Queen,Keep Yourself Alive,1,Do you think you're better every day?,23
Queen,Keep Yourself Alive,1,"No, I just think I'm two steps nearer to my grave",24
Queen,Keep Yourself Alive,1,"Keep yourself alive, c'mon Keep yourself alive",25
Queen,Keep Yourself Alive,1,you take your time and take more money,26
Queen,Keep Yourself Alive,1,"Keep yourself alive
Keep yourself alive",27
Queen,Keep Yourself Alive,1,C'mon keep yourself alive All you people keep yourself alive,28
Queen,Keep Yourself Alive,1,Keep yourself alive C'mon c'mon keep yourself alive,29
Queen,Keep Yourself Alive,1,Take you all your time and-a money to keep me satisfied,30
A night at the opera,Bohemian Rhapsody,11,Is this the real life? Is this just fantasy?,1
A night at the opera,Bohemian Rhapsody,11,"Caught in a landslide, no escape from reality",2
A night at the opera,Bohemian Rhapsody,11,"Open your eyes, look up to the skies and see",3
A night at the opera,Bohemian Rhapsody,11,"I'm just a poor boy, I need no sympathy",4
A night at the opera,Bohemian Rhapsody,11,"Because I'm easy come, easy go, little high, little low",5
A night at the opera,Bohemian Rhapsody,11,"Any way the wind blows doesn't really matter to me, to me",6
A night at the opera,Bohemian Rhapsody,11,"Mama, just killed a man",7
A night at the opera,Bohemian Rhapsody,11,"Put a gun against his head, pulled my trigger, now he's dead",8
A night at the opera,Bohemian Rhapsody,11,"Mama, life had just begun",9
A night at the opera,Bohemian Rhapsody,11,But now I've gone and thrown it all away,10
A night at the opera,Bohemian Rhapsody,11,"Mama, ooh, didn't mean to make you cry",11
A night at the opera,Bohemian Rhapsody,11,If I'm not back again this time tomorrow,12
A night at the opera,Bohemian Rhapsody,11,"Carry on, carry on as if nothing really matters",13
A night at the opera,Bohemian Rhapsody,11,"Too late, my time has come",14
A night at the opera,Bohemian Rhapsody,11,"Sends shivers down my spine, body's aching all the time",15
A night at the opera,Bohemian Rhapsody,11,"Goodbye, everybody, I've got to go",16
A night at the opera,Bohemian Rhapsody,11,Gotta leave you all behind and face the truth,17
A night at the opera,Bohemian Rhapsody,11,"Mama, ooh Any way the wind blows",18
A night at the opera,Bohemian Rhapsody,11,I don't wanna die,19
A night at the opera,Bohemian Rhapsody,11,I sometimes wish I'd never been born at all,20
A night at the opera,Bohemian Rhapsody,11,I see a little silhouetto of a man,21
